text_a,text_b,label
Traditional Mask Painting. Discover Traditional Mask Painting with our expert instructors. Perfect for beginners.,Dhaka Weaving Workshop. Join our Dhaka Weaving Workshop workshop. All materials provided for a fun afternoon.,1.0
Artisan Donut Glazing. Join our Artisan Donut Glazing workshop. All materials provided for a fun afternoon.,Vipassana Meditation. Immersive Vipassana Meditation experience. Learn traditional techniques and modern styles.,0.0
Sourdough Bread Making. Master the art of Sourdough Bread Making. A hands-on creative session in Kathmandu.,Himalayan Herbal Tea Science. Master the art of Himalayan Herbal Tea Science. A hands-on creative session in Kathmandu.,0.0
New York Cheesecake. Immersive New York Cheesecake experience. Learn traditional techniques and modern styles.,Cinnamon Roll Sunday. Join our Cinnamon Roll Sunday workshop. All materials provided for a fun afternoon.,1.0
Watercolor Landscapes. Discover Watercolor Landscapes with our expert instructors. Perfect for beginners.,Vipassana Meditation. Immersive Vipassana Meditation experience. Learn traditional techniques and modern styles.,0.0
Thimi Pottery Wheel. Immersive Thimi Pottery Wheel experience. Learn traditional techniques and modern styles.,Metal Hammering (Copper). Immersive Metal Hammering (Copper) experience. Learn traditional techniques and modern styles.,1.0
Himalayan Herbal Tea Science. Immersive Himalayan Herbal Tea Science experience. Learn traditional techniques and modern styles.,Forest Bathing (Shivapuri). Join our Forest Bathing (Shivapuri) workshop. All materials provided for a fun afternoon.,1.0
Strawberry Shortcake Basics. Join our Strawberry Shortcake Basics workshop. All materials provided for a fun afternoon.,New York Cheesecake. Join our New York Cheesecake workshop. All materials provided for a fun afternoon.,1.0
Metal Hammering (Copper). Master the art of Metal Hammering (Copper). A hands-on creative session in Kathmandu.,Acrylic Pour Art. Join our Acrylic Pour Art workshop. All materials provided for a fun afternoon.,0.0
Vipassana Meditation. Join our Vipassana Meditation workshop. All materials provided for a fun afternoon.,Thimi Pottery Wheel. Immersive Thimi Pottery Wheel experience. Learn traditional techniques and modern styles.,0.0
Charcoal Life Drawing. Master the art of Charcoal Life Drawing. A hands-on creative session in Kathmandu.,Pencil Sketching Kathmandu. Immersive Pencil Sketching Kathmandu experience. Learn traditional techniques and modern styles.,1.0
Oil Painting Portraits. Master the art of Oil Painting Portraits. A hands-on creative session in Kathmandu.,Devanagari Calligraphy. Master the art of Devanagari Calligraphy. A hands-on creative session in Kathmandu.,1.0
Oil Painting Portraits. Join our Oil Painting Portraits workshop. All materials provided for a fun afternoon.,Sound Bath Experience. Immersive Sound Bath Experience experience. Learn traditional techniques and modern styles.,0.0
Thimi Pottery Wheel. Master the art of Thimi Pottery Wheel. A hands-on creative session in Kathmandu.,Mithila Painting Studio. Discover Mithila Painting Studio with our expert instructors. Perfect for beginners.,1.0
Cinnamon Roll Sunday. Master the art of Cinnamon Roll Sunday. A hands-on creative session in Kathmandu.,New York Cheesecake. Master the art of New York Cheesecake. A hands-on creative session in Kathmandu.,1.0
Vipassana Meditation. Discover Vipassana Meditation with our expert instructors. Perfect for beginners.,Brass Carving Basics. Discover Brass Carving Basics with our expert instructors. Perfect for beginners.,0.0
Charcoal Life Drawing. Immersive Charcoal Life Drawing experience. Learn traditional techniques and modern styles.,Pencil Sketching Kathmandu. Immersive Pencil Sketching Kathmandu experience. Learn traditional techniques and modern styles.,1.0
Watercolor Landscapes. Join our Watercolor Landscapes workshop. All materials provided for a fun afternoon.,Cupcake Decoration. Immersive Cupcake Decoration experience. Learn traditional techniques and modern styles.,0.0
Dhaka Weaving Workshop. Master the art of Dhaka Weaving Workshop. A hands-on creative session in Kathmandu.,Acrylic Pour Art. Discover Acrylic Pour Art with our expert instructors. Perfect for beginners.,0.0
