Id,text
2,"Ice Cream Making  Discover the Art of Making Smooth, Creamy Ice Cream at Home

Learn the step-by-step process of crafting delicious ice cream in the comfort of your own home, complete with expert tips for achieving the perfect balance of flavors, textures, and presentation, plus simple yet impressive serving ideas to elevate your desserts."
5,"Street-Style Desserts  Make easy, street-style sweet treats at home, including classic biscuits, cookies, and simple ice cream."
17,Traditional Newari Pottery & Clay Art  Learn the ancient art of pottery using traditional wheels. We focus on natural clay preparation and manual molding techniques practiced in Bhaktapur.
18,"Himalayan Spice & Momo Cooking  Master the secret recipes of authentic Nepali Momos. From dough rolling to spice blending and steam techniques, learn it all in this culinary session."
19,Sunset Hatha Yoga & Meditation  A calming wellness session focusing on breathing alignment and Hatha yoga postures. Perfect for meditation and stress relief after work.
20,"Python for Data Science & AI  Introduction to Python programming focusing on data analysis, machine learning algorithms, and neural network concepts using clean code patterns."
21,"Documentary Photography & Storytelling  Capture powerful stories through your lens. We explore camera settings, composition, and visual storytelling techniques for travel and journalism."
22,Traditional Madal & Folk Music  Learn the rhythm of Nepal with our Madal workshop. We cover basic beats and complex folk rhythms used in traditional music and ceremonies.
23,"Startup Strategy & Pitch Deck Design  Turn your idea into a business. This workshop covers market research, financial modeling, and creating winning pitch decks for investors."
24,"Conversational Nepali for Travelers  Essential Nepali phrases and grammar for tourists and expats. Learn to communicate effectively in markets, taxis, and social settings."
25,"Bamboo Furniture DIY Workshop  Design and build your own eco-friendly furniture using bamboo. Learn cutting, joining, and finishing techniques for home decor."
26,"Science Experiments for Kids  A fun and interactive workshop for children. We explore physics and chemistry through safe, hands-on experiments that spark curiosity."
